,label,score
0,LABEL_0,0.7303758263587952
1,LABEL_0,0.7519602179527283
2,LABEL_0,0.6919968724250793
3,LABEL_0,0.6385748386383057
4,LABEL_0,0.7109151482582092
5,LABEL_0,0.6476888656616211
6,LABEL_0,0.7117006778717041
7,LABEL_0,0.6828495264053345
8,LABEL_0,0.591119110584259
9,LABEL_0,0.7285885214805603
10,LABEL_1,0.5207428932189941
11,LABEL_0,0.5664281249046326
12,LABEL_1,0.5655210018157959
13,LABEL_0,0.6965839862823486
14,LABEL_0,0.5898677110671997
15,LABEL_0,0.5491160154342651
16,LABEL_0,0.7258455753326416
17,LABEL_0,0.7306634783744812
18,LABEL_1,0.568526566028595
19,LABEL_0,0.7503131628036499
20,LABEL_0,0.7422873973846436
21,LABEL_0,0.7152799963951111
22,LABEL_0,0.6417633295059204
23,LABEL_0,0.7200767993927002
24,LABEL_0,0.5788747072219849
25,LABEL_1,0.6781280040740967
26,LABEL_0,0.6244954466819763
27,LABEL_0,0.5625652074813843
28,LABEL_1,0.5015050768852234
29,LABEL_0,0.5661324858665466
30,LABEL_0,0.7208040952682495
31,LABEL_0,0.7785129547119141
32,LABEL_0,0.7308701872825623
33,LABEL_0,0.7033202052116394
34,LABEL_1,0.5719469785690308
35,LABEL_0,0.7897545099258423
36,LABEL_0,0.6094810962677002
37,LABEL_0,0.6972460746765137
38,LABEL_0,0.5351405143737793
39,LABEL_0,0.7218703627586365
40,LABEL_0,0.7431676983833313
41,LABEL_0,0.6484379172325134
42,LABEL_0,0.7446579337120056
43,LABEL_0,0.701515793800354
44,LABEL_0,0.5565816164016724
45,LABEL_0,0.6477037072181702
46,LABEL_0,0.6361638903617859
47,LABEL_0,0.6214165091514587
48,LABEL_0,0.6278340220451355
49,LABEL_0,0.5880787372589111
50,LABEL_0,0.6247363686561584
51,LABEL_0,0.5934349298477173
52,LABEL_0,0.5894542932510376
53,LABEL_0,0.6670151352882385
54,LABEL_0,0.678429365158081
55,LABEL_0,0.6329512596130371
56,LABEL_0,0.7013716101646423
57,LABEL_1,0.5675445199012756
58,LABEL_0,0.6905961036682129
59,LABEL_0,0.5978992581367493
60,LABEL_0,0.5603647232055664
61,LABEL_1,0.5880677103996277
62,LABEL_0,0.7883536815643309
63,LABEL_0,0.5961034893989563
64,LABEL_0,0.6354914307594299
65,LABEL_0,0.6077675223350525
66,LABEL_0,0.6377800703048706
67,LABEL_0,0.6913185119628906
68,LABEL_0,0.5594860911369324
69,LABEL_0,0.5068514347076416
70,LABEL_0,0.8344578742980957
71,LABEL_0,0.5639219880104065
72,LABEL_0,0.8589857816696167
73,LABEL_0,0.5769637227058411
74,LABEL_0,0.7063482999801636
75,LABEL_0,0.6194992065429688
76,LABEL_0,0.6194992065429688
77,LABEL_0,0.5238932371139526
78,LABEL_0,0.6069225668907166
79,LABEL_0,0.7256883978843689
80,LABEL_1,0.5127586126327515
81,LABEL_0,0.5722755789756775
82,LABEL_0,0.6594561338424683
83,LABEL_0,0.7088274955749512
84,LABEL_0,0.7001162171363831
85,LABEL_0,0.6095097064971924
86,LABEL_0,0.5682583451271057
87,LABEL_0,0.7261852025985718
88,LABEL_0,0.7174933552742004
89,LABEL_1,0.6179613471031189
90,LABEL_0,0.7256724238395691
91,LABEL_0,0.6525992155075073
92,LABEL_0,0.6580358147621155
93,LABEL_1,0.531877875328064
94,LABEL_0,0.6704873442649841
95,LABEL_0,0.8418731093406677
96,LABEL_0,0.6995927095413208
97,LABEL_0,0.6557946801185608
98,LABEL_0,0.6511648893356323
99,LABEL_0,0.7185491919517517
100,LABEL_0,0.6888278126716614
101,LABEL_0,0.5601310133934021
102,LABEL_0,0.6546838283538818
103,LABEL_0,0.5492765307426453
104,LABEL_0,0.6408578157424927
105,LABEL_0,0.7337180972099304
106,LABEL_0,0.5022220015525818
107,LABEL_0,0.7254105210304259
108,LABEL_0,0.5454859733581543
109,LABEL_0,0.7546238303184509
110,LABEL_0,0.5621881484985352
111,LABEL_0,0.791242778301239
112,LABEL_0,0.6424363851547241
113,LABEL_0,0.5874578356742859
114,LABEL_0,0.6062708497047424
115,LABEL_0,0.6045117974281311
116,LABEL_0,0.5692529082298279
117,LABEL_0,0.5767793655395508
118,LABEL_0,0.7684211730957031
119,LABEL_0,0.6652254462242126
120,LABEL_1,0.5525100827217102
121,LABEL_1,0.5238930583000183
122,LABEL_0,0.6213029026985168
123,LABEL_0,0.6802696585655212
124,LABEL_0,0.5999006628990173
125,LABEL_1,0.5952193140983582
126,LABEL_0,0.7391255497932434
127,LABEL_0,0.5303001403808594
128,LABEL_1,0.5868529677391052
129,LABEL_1,0.5402724146842957
130,LABEL_0,0.6751917004585266
131,LABEL_0,0.8091051578521729
132,LABEL_0,0.5136606097221375
133,LABEL_1,0.6101342439651489
134,LABEL_0,0.5008008480072021
135,LABEL_0,0.5261005163192749
136,LABEL_0,0.6785075664520264
137,LABEL_0,0.6092307567596436
138,LABEL_0,0.8168420195579529
139,LABEL_0,0.7939885258674622
140,LABEL_0,0.6442559957504272
141,LABEL_0,0.6935915350914001
142,LABEL_0,0.5732331275939941
143,LABEL_0,0.6331802010536194
144,LABEL_1,0.5026835799217224
145,LABEL_0,0.6419152617454529
146,LABEL_0,0.7871726751327515
147,LABEL_0,0.6064204573631287
148,LABEL_0,0.6474941968917847
149,LABEL_0,0.6702443361282349
150,LABEL_0,0.7394406199455261
151,LABEL_0,0.7418166995048523
152,LABEL_0,0.636709451675415
153,LABEL_0,0.6680931448936462
154,LABEL_0,0.6960036158561707
155,LABEL_0,0.5587091445922852
156,LABEL_0,0.6415429711341858
157,LABEL_0,0.5867548584938049
158,LABEL_0,0.6033279895782471
159,LABEL_0,0.7253115177154541
160,LABEL_0,0.57109135389328
161,LABEL_0,0.5791321396827698
162,LABEL_0,0.6499651074409485
163,LABEL_0,0.6113238334655762
164,LABEL_0,0.7352898120880127
165,LABEL_0,0.6363191604614258
166,LABEL_0,0.5941807627677917
167,LABEL_0,0.681144118309021
168,LABEL_0,0.6412050127983093
